x,y,species median
123.0,123.0,0.09374965
124.0,124.0,0.106185384
125.0,125.0,0.026715377
126.0,126.0,0.3505232
127.0,127.0,0.12580325
128.0,128.0,0.13480249
129.0,129.0,0.10471925
130.0,130.0,0.027970303
131.0,131.0,0.056911163
132.0,132.0,1.4052929E-4
133.0,133.0,0.030816732
134.0,134.0,0.43099606
135.0,135.0,0.14627981
136.0,136.0,0.10874884
137.0,137.0,0.79403603
138.0,138.0,0.04891397
139.0,139.0,0.27658352
140.0,140.0,0.14040026
141.0,141.0,0.006458534
142.0,142.0,0.12176542
143.0,143.0,0.069057345
144.0,144.0,0.7306502
145.0,145.0,0.004118844
146.0,146.0,0.0010690474
147.0,147.0,0.16573745
148.0,148.0,0.024511926
149.0,149.0,0.09615349
150.0,150.0,0.19414568
151.0,151.0,0.36905006
152.0,152.0,0.07059651
153.0,153.0,0.0846423
154.0,154.0,0.011248394
155.0,155.0,0.12049634
156.0,156.0,0.5295198
157.0,157.0,0.046173878
158.0,158.0,0.03730138
159.0,159.0,0.20452547
160.0,160.0,0.034152035
161.0,161.0,0.122404076
162.0,162.0,0.22437456
163.0,163.0,0.07135402
164.0,164.0,6.391565E-4
165.0,165.0,0.070159726
166.0,166.0,0.03739563
167.0,167.0,0.006537414
168.0,168.0,0.16105683
169.0,169.0,0.05096279
170.0,170.0,5.0330686E-4
171.0,171.0,0.026848499
172.0,172.0,0.16084826
173.0,173.0,0.11647067
174.0,174.0,0.7028132
175.0,175.0,0.0019186194
176.0,176.0,0.14555883
177.0,177.0,0.052907586
178.0,178.0,0.028456036
179.0,179.0,0.032566175
180.0,180.0,3.7012075E-4
181.0,181.0,0.05973543
182.0,182.0,4.1262902E-4
183.0,183.0,0.26512414
184.0,184.0,0.8529169
185.0,185.0,0.49782968
186.0,186.0,0.4587753
187.0,187.0,0.0075456025
188.0,188.0,0.059947573
189.0,189.0,0.04970936
190.0,190.0,7.742711E-5
191.0,191.0,5.143307E-4
192.0,192.0,0.14575192
193.0,193.0,0.28706503
194.0,194.0,0.2972824
195.0,195.0,0.12072464
196.0,196.0,0.2506944
197.0,197.0,0.01127132
198.0,198.0,0.054204952
199.0,199.0,0.15410079
200.0,200.0,0.40088403
201.0,201.0,0.018270196
202.0,202.0,0.61985147
203.0,203.0,0.06556971
204.0,204.0,0.0386422
205.0,205.0,0.39675024
206.0,206.0,0.079818815
207.0,207.0,0.082057714
208.0,208.0,0.405268
209.0,209.0,0.12850381
210.0,210.0,0.614702
211.0,211.0,0.014645443
212.0,212.0,0.0075556487
213.0,213.0,0.13103198
214.0,214.0,0.1174313
215.0,215.0,2.1314815E-4
216.0,216.0,0.42759794
217.0,217.0,1.9234953E-5
218.0,218.0,0.12118957
219.0,219.0,0.10904452
220.0,220.0,0.26208633
221.0,221.0,0.034160558
222.0,222.0,0.03908128
223.0,223.0,0.012900918
224.0,224.0,0.13227327
225.0,225.0,0.618215
226.0,226.0,0.15139873
227.0,227.0,0.059590366
228.0,228.0,0.16937597
229.0,229.0,0.67562276
230.0,230.0,0.005407463
231.0,231.0,0.4637657
232.0,232.0,0.6429107
233.0,233.0,0.26524073
234.0,234.0,0.12516236
235.0,235.0,0.07701987
236.0,236.0,0.49137035
237.0,237.0,0.20219038
238.0,238.0,0.21583298
239.0,239.0,0.12414822
240.0,240.0,0.10070539
241.0,241.0,0.46279475
242.0,242.0,0.094832115
