x,y,species max
349.0,349.0,7.087149E-5
350.0,350.0,0.010979007
351.0,351.0,0.22366442
352.0,352.0,0.029286813
353.0,353.0,6.193686E-7
354.0,354.0,0.13000612
355.0,355.0,0.123782024
356.0,356.0,0.14945069
357.0,357.0,0.2954841
358.0,358.0,7.6023634E-6
359.0,359.0,0.23094551
360.0,360.0,3.239065E-8
361.0,361.0,0.17818195
362.0,362.0,2.0207577E-7
363.0,363.0,5.2449755E-5
364.0,364.0,0.19833834
365.0,365.0,0.23702882
366.0,366.0,0.2851692
367.0,367.0,3.2574593E-4
368.0,368.0,0.25387588
369.0,369.0,0.18805464
370.0,370.0,0.4854887
371.0,371.0,0.04663811
372.0,372.0,0.080233626
373.0,373.0,0.57207143
374.0,374.0,0.82823807
375.0,375.0,1.596327E-5
376.0,376.0,4.770157E-5
377.0,377.0,0.004470392
378.0,378.0,0.2956019
379.0,379.0,0.39703915
380.0,380.0,0.259271
381.0,381.0,5.147022E-4
382.0,382.0,0.03913167
383.0,383.0,0.004825528
384.0,384.0,0.43519685
385.0,385.0,0.3228747
386.0,386.0,0.029036963
387.0,387.0,0.006744161
388.0,388.0,0.27327508
389.0,389.0,5.951564E-6
390.0,390.0,3.9515676E-4
391.0,391.0,0.048147872
392.0,392.0,0.0019723813
393.0,393.0,1.141271E-5
394.0,394.0,1.3274321E-7
395.0,395.0,0.054467276
396.0,396.0,0.0074428245
397.0,397.0,5.041109E-5
398.0,398.0,0.017931927
399.0,399.0,4.497691E-6
400.0,400.0,7.1630464E-4
401.0,401.0,0.011036908
402.0,402.0,0.5766236
403.0,403.0,0.6960883
404.0,404.0,1.5292214E-7
405.0,405.0,0.09213355
406.0,406.0,0.09993657
407.0,407.0,1.7929345E-6
408.0,408.0,0.024816865
409.0,409.0,0.0046161264
410.0,410.0,0.43498725
411.0,411.0,0.1796842
412.0,412.0,0.33489048
413.0,413.0,0.060739726
414.0,414.0,0.6905618
415.0,415.0,0.22211154
416.0,416.0,0.21145426
417.0,417.0,0.18747231
418.0,418.0,0.84450144
419.0,419.0,1.4991508E-10
420.0,420.0,0.15643053
421.0,421.0,0.0019348502
422.0,422.0,0.30317578
423.0,423.0,0.16414048
424.0,424.0,5.7429916E-10
425.0,425.0,0.23935992
426.0,426.0,2.2483361E-7
427.0,427.0,1.1864219E-4
428.0,428.0,0.5729648
429.0,429.0,0.16029112
430.0,430.0,0.54926026
431.0,431.0,0.14270666
432.0,432.0,0.0014599862
433.0,433.0,0.26356632
434.0,434.0,0.41423598
435.0,435.0,0.31004933
436.0,436.0,0.120499305
