"","binomial","CloudMin","Cloud1Q","CloudMed","CloudMea","Cloud3Q","CloudMax"
"98","Bolitoglossa oaxacensis","104.2  ","109.5  ","112.5  ","114.4  ","115.4  ","129.8  "
"99","Bolitoglossa occidentalis","127.8  ","160.6  ","168.7  ","178.5  ","201.8  ","226.7  "
"100","Bolitoglossa orestes","220.0  ","224.1  ","228.2  ","228.2  ","232.4  ","236.5  "
"101","Bolitoglossa palmata","218.0  ","235.1  ","238.1  ","236.7  ","240.8  ","244.1  "
"102","Bolitoglossa paraensis","136.0  ","206.0  ","210.5  ","205.5  ","212.2  ","221.0  "
"103","Bolitoglossa peruviana","205.1  ","213.5  ","215.9  ","215.9  ","218.0  ","239.9  "
"104","Bolitoglossa pesrubra","229.7  ","231.9  ","235.6  ","234.5  ","236.3  ","239.3  "
"105","Bolitoglossa platydactyla","133.5  ","177.9  ","186.6  ","184.8  ","195.4  ","208.4  "
"106","Bolitoglossa porrasorum","185.0  ","189.1  ","193.1  ","190.6  ","193.4  ","193.7  "
"107","Bolitoglossa riletti","143.2  ","146.8  ","150.4  ","150.4  ","154.0  ","157.6  "
"108","Bolitoglossa robusta","211.0  ","221.3  ","228.7  ","226.9  ","232.9  ","239.3  "
"109","Bolitoglossa rostrata","160.6  ","174.3  ","183.6  ","184.3  ","191.5  ","215.5  "
"110","Bolitoglossa rufescens","125.3  ","165.6  ","180.6  ","177.1  ","189.4  ","211.7  "
"111","Bolitoglossa schizodactyla","203.7  ","215.2  ","220.3  ","219.9  ","223.4  ","234.1  "
"112","Bolitoglossa sombra","229.6  ","229.6  ","229.6  ","229.6  ","229.6  ","229.6  "
"113","Bolitoglossa stuarti","116.3  ","130.5  ","145.6  ","150.1  ","174.8  ","182.1  "
"114","Bolitoglossa subpalmata","170.3  ","223.4  ","230.3  ","224.2  ","233.2  ","239.2  "
"115","Bolitoglossa suchitanensis","144.3  ","148.4  ","152.5  ","152.5  ","156.6  ","160.7  "
"116","Bolitoglossa synoria","191.3  ","191.3  ","191.3  ","191.3  ","191.3  ","191.3  "
"117","Bolitoglossa tica","211.0  ","211.6  ","212.8  ","213.6  ","213.5  ","220.1  "
"118","Bolitoglossa yucatana"," 60.85  ","145.09  ","161.35  ","151.47  ","168.18  ","196.02  "
"119","Bolitoglossa zapoteca","121.3  ","121.3  ","121.3  ","121.3  ","121.3  ","121.3  "
"120","Chiropterotriton arboreus","147.3  ","151.1  ","155.0  ","155.0  ","158.9  ","162.7  "
"121","Chiropterotriton chondrostega","109.8  ","115.8  ","118.1  ","134.1  ","137.1  ","200.0  "
"122","Chiropterotriton cracens","120.3  ","122.4  ","128.9  ","130.2  ","136.7  ","142.6  "
"123","Chiropterotriton dimidiatus","101.8  ","102.1  ","102.4  ","102.4  ","102.8  ","103.1  "
"124","Chiropterotriton lavae","177.6  ","189.2  ","196.1  ","192.8  ","199.6  ","201.4  "
