"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"158","Desmognathus wrighti","213","468","734","740","951","1670","8","11","12","12.07","13","16","9","12","13","12.71","13","14","32","37","38","37.94","39","42","661","729","752","752.8","782","808","22","27","29","28.52","30","33","-7","-6","-5","-4.939","-4","-1","27","32","34","33.43","35","37","2","8","17","13.99","20","22","-1","5","9","9.354","14","20","16","20","21","21.17","23","25","-1","2","3","2.552","3","6","1056","1203","1284","1364","1487","2082","108","119","127","137.4","154","211","61","81","89","92.14","100","153","7","10","11","11.4","13","16","305","336","354","378.2","416","558","222","257","282","299.1","330","476","285","324","340","356.9","380","497","222","273","294","325.8","384","526"
"159","Ensatina eschscholtzii","-2","215","507","673.8","975","3757","-3","9","11","11.4","14","23","3","10","12","12.18","14","22","10","42","45","45.8","49","70","160","472","541","536.8","620","789","9","20","24","24.46","29","41","-17","-4","-2","-2.093","0","10","12","23","26","26.56","31","39","-8","4","6","5.886","9","16","2","15","17","17.85","21","29","5","15","18","18.37","21","32","-12","3","5","5.396","8","15","99","590","1151","1225","1729","3366","22","112","203","210.2","291","546","0","2","8","14.28","23","73","40","65","76","75.8","86","110","53","305","566","593.6","829","1513","2","12","45","67.17","111","266","2","19","56","75.78","116","308","51","295","537","556.5","764","1424"
"160","Eurycea chisholmensis","153","156.8","165","166.2","174.5","182","19","19","19","19","19","19","12","12","12.5","12.5","13","13","37","37","37.5","37.5","38","38","755","755","756","756","757","757","35","35.75","36","35.75","36","36","2","2","2","2","2","2","33","33","33","33","33","33","23","23","23","23","23","23","10","10.75","11","10.75","11","11","28","28","28","28","28","28","10","10","10","10","10","10","846","847.5","850","849.5","852","852","113","113","113","113","113","113","42","42","42","42.25","42.25","43","30","30","30","30","30","30","277","277","277.5","277.5","278","278","170","170","171","171","172","172","179","179.8","180","179.8","180","180","170","170","171","171","172","172"
"161","Eurycea cirrigera","-14","75","158","202.6","264","1670","8","13","15","15.09","17","21","8","12","13","12.85","14","15","26","35","38","37.38","40","48","544","719","783","789.4","845","1055","22","30","33","31.9","34","35","-13","-6","-3","-2.701","1","9","24","33","35","34.62","36","41","2","12","19","17.49","23","28","-4","10","16","13.65","20","27","16","23","25","24.57","26","28","-4","2","5","5.057","8","14","849","1151","1263","1279","1420","2082","89","120","136","140.4","161","243","35","68","76","75.02","83","153","7","15","18","18.77","22","51","264","336","380","387.3","434","644","135","229","254","252.4","276","476","254","306","324","345.1","360","640","135","261","309","315.4","386","526"
"162","Eurycea guttolineata","-14","49","102","144.2","169","1660","8","15","17","16.55","18","21","8","13","13","13.16","14","15","30","38","39","39.31","41","45","589","697","744","742.6","785","914","22","33","34","33.07","34","35","-8","-2","-1","-0.4801","2","9","24","32","34","33.58","35","38","2","10","16","17.24","25","28","-1","13","18","16.46","21","27","16","25","26","25.5","26","28","-1","5","7","7.154","9","13","965","1199","1338","1340","1453","2082","95","129","152","148.1","165","230","48","71","78","77.91","84","153","7","15","19","19.03","22","37","267","364","418","406.6","444","618","182","240","259","262.8","279","476","258","311","336","356.8","390","611","194","285","352","346.8","404","526"
"163","Eurycea junaluska","255","322","548","636.9","864.8","1670","8","12","13","12.58","14","14","10","13","13","13.07","14","14","34","38","39","38.5","39","41","671","728","763","757.7","792","807","22","28","30","29.29","32","32","-6","-5","-5","-4.65","-4","-3","28","33","34","33.88","35","37","2","5","6","9.665","19","22","11","14","15","15.82","19","20","16","20","22","21.76","24","24","-1","2","3","3.01","4","4","1206","1336","1455","1470","1591","1885","122","139","153","152.1","164","193","67","78","87","88.75","96.75","127","10","12","15","13.74","15","16","334","374","410","409.4","442","512","241","271.2","301","307.7","338.8","422","317","340","374","377.8","408.8","472","303","343","383","380.3","413","481"
"164","Eurycea latitans","178","331","443","456.3","593","717","18","18","19","18.67","19","20","11","12","13","12.78","13","14","38","39","40","40.2","41","43","666","693","701","698.9","706","728","33","34","34","34.19","35","36","1","2","2","2.397","3","4","30","31","32","31.78","32","34","22","23","23","22.8","23","24","9","9","10","10.33","12","13","26","26","27","26.84","27","28","9","9","10","9.758","10","11","644","746","853","813","871","891","86","97","113","109.4","120","127","26","34","43","41.13","48","51","31","33","34","34.31","35","39","218","250","285","274","293","308","91","114","146","135","154","159","194","213","218","218.6","225","238","92","114","146","135.9","155","164"
"165","Eurycea lucifuga","66","195","256","298.7","338","1670","7","13","13","13.34","14","17","10","12","12","12.45","13","15","27","31","34","33.98","37","41","671","812","875","871.1","925","1019","22","30","31","30.99","32","34","-11","-7","-6","-5.72","-4","0","28","36","37","36.73","38","40","3","13","15","15.42","19","23","-3","1","13","10.43","20","26","16","23","24","23.79","25","27","-3","1","2","2.215","4","8","898","1099","1172","1210","1327","1839","91","120","126","130.8","139","184","32","59","73","69.81","81","126","8","15","17","18.44","20","38","266","334","353","359.6","376","498","122","206","247","238.3","274","417","238","285","307","304","321","465","122","206","258","270.4","332","452"
"166","Eurycea multiplicata","51","183","272","274","359","670","13","14","15","14.84","16","17","10","12","12","12.42","13","14","28","33","34","33.91","35","38","790","835.8","860","865.7","894","967","30","32","33","32.64","34","35","-7","-6","-4","-4.039","-3","0","33","36","37","36.69","38","39","12","15","16","16.75","18","21","0","3","4","8.085","6","27","23","24","25","25.23","26","27","0","3","4","3.792","5","7","1030","1113","1179","1197","1259","1525","115","126","137","138.3","147","176","34","50","58","60.45","69","87","15","20","22","23.26","27","38","318","349","366","371.1","390","477","122","187","220","224","259","325","234","266","280","279.3","290","339","122","187","220","228.1","269","327"
"167","Eurycea nana","188","193.2","198.5","198.5","203.8","209","20","20","20","20","20","20","12","12.25","12.5","12.5","12.75","13","39","39.25","39.5","39.5","39.75","40","706","706.2","706.5","706.5","706.8","707","35","35.25","35.5","35.5","35.75","36","4","4","4","4","4","4","32","32","32","32","32","32","23","23.25","23.5","23.5","23.75","24","12","12.25","12.5","12.5","12.75","13","28","28","28","28","28","28","11","11","11","11","11","11","882","882","882","882","882","882","126","126.2","126.5","126.5","126.8","127","48","48","48","48","48","48","34","34.25","34.5","34.5","34.75","35","307","307.2","307.5","307.5","307.8","308","156","156.2","156.5","156.5","156.8","157","217","217.8","218.5","218.5","219.2","220","162","162.2","162.5","162.5","162.8","163"
"168","Eurycea naufragia","233","247.5","262","253","263","264","19","19","19","19","19","19","12","12","12","12","12","12","37","37.5","38","37.67","38","38","730","730.5","731","731.7","732.5","734","35","35","35","35","35","35","3","3","3","3","3","3","32","32","32","32","32","32","23","23","23","23","23","23","10","10","10","10","10","10","28","28","28","28","28","28","10","10","10","10","10","10","842","842.5","843","842.7","843","843","114","114.5","115","114.7","115","115","46","46.5","47","46.67","47","47","31","31","31","31.33","31.5","32","276","277","278","277.7","278.5","279","161","161.5","162","161.7","162","162","185","185","185","185.7","186","187","161","161.5","162","161.7","162","162"
"169","Eurycea neotenes","390","392","394","400","405","416","19","19","19","19","19","19","12","12","12","12","12","12","39","39","39","39","39","39","673","676.5","680","678.3","681","682","33","33.5","34","33.67","34","34","3","3","3","3.333","3.5","4","30","30","30","30","30","30","23","23","23","23","23","23","10","10","10","10","10","10","27","27","27","27","27","27","10","10","10","10","10","10","834","844.5","855","848","855","855","110","111","112","111.3","112","112","42","43","44","43.33","44","44","32","32","32","32.33","32.5","33","278","281","284","282","284","284","139","142","145","143","145","145","227","228.5","230","229.3","230.5","231","139","142","145","143","145","145"
"170","Eurycea pterophila","281","325","357","359.7","400","429","19","19","19","19","19","19","12","12","13","12.65","13","13","39","39","39","39.47","40","40","704","708","709","709.2","711","715","34","35","35","34.82","35","35","2","2","3","2.529","3","3","31","32","32","31.82","32","32","22","23","23","22.82","23","23","10","10","10","10.59","12","12","27","27","27","27.24","27","28","10","10","10","10","10","10","858","860","866","865.9","868","878","117","117","119","119.6","121","124","45","46","47","47.47","49","50","32","33","33","32.94","33","33","286","289","291","292.2","295","301","149","152","155","154.4","157","159","211","214","215","215","216","220","149","152","155","154.8","158","160"
"171","Eurycea quadridigitata","-14","22","55","63.63","97","468","14","18","19","18.75","20","25","6","12","13","12.66","13","14","29","39","41","41.28","43","56","311","643","693","671","736","829","31","34","34","33.93","34","36","-4","1","2","3.019","4","17","15","30","32","30.96","34","36","7","12","25","20.79","27","28","4","16","19","19.03","23","29","24","26","27","26.73","27","29","4","8","10","10.23","11","21","873","1206","1314","1333","1455","1707","104","134","158","158.2","174","249","32","60","71","70.92","82","118","9","17","21","25.19","27","72","276","371","429","431.9","474","683","120","215","245","247.5","281","369","174","318","374","388.6","467","647","120","274","317","320.4","387","474"
"172","Eurycea rathbuni","200","217","234","232","248","262","19","19.5","20","19.67","20","20","12","12","12","12","12","12","39","39","39","39","39","39","699","701.5","704","702.3","704","704","35","35","35","35","35","35","3","3.5","4","3.667","4","4","31","31","31","31","31","31","23","23","23","23","23","23","12","12","12","12","12","12","28","28","28","28","28","28","11","11","11","11","11","11","879","880","881","882","883.5","886","125","125.5","126","125.7","126","126","47","47.5","48","48.33","49","50","34","34","34","34","34","34","306","306","306","306","306","306","156","156.5","157","156.7","157","157","219","219.5","220","220.7","221.5","223","161","162","163","162.3","163","163"
"173","Eurycea sosorum","164","164","164","164","164","164","20","20","20","20","20","20","11","11","11","11","11","11","37","37","37","37","37","37","707","707","707","707","707","707","35","35","35","35","35","35","4","4","4","4","4","4","31","31","31","31","31","31","24","24","24","24","24","24","13","13","13","13","13","13","28","28","28","28","28","28","11","11","11","11","11","11","825","825","825","825","825","825","121","121","121","121","121","121","46","46","46","46","46","46","34","34","34","34","34","34","284","284","284","284","284","284","150","150","150","150","150","150","198","198","198","198","198","198","151","151","151","151","151","151"
"174","Eurycea spelaea","66","237","302","301.2","363","670","12","13","14","13.78","14","16","10","12","12","12.22","13","14","28","31","32","32.46","33","36","822","881","907","905.1","929","986","30","31","32","31.93","33","34","-8","-7","-6","-5.743","-5","-2","34","37","38","37.69","38","39","12","14","18","16.43","18","22","0","1","2","4.173","3","26","23","24","24","24.62","25","27","0","1","2","2.192","3","5","1004","1084","1114","1122","1155","1280","111","120","125","126","131","152","34","46","52","53.71","60","84","17","20","22","23.62","28","38","302","333","346","346.2","360","395","122","173","192","199.1","225.5","272","238","269","282","279.7","288","326","122","173","192","200.7","225.5","291"
"175","Eurycea tonkawae","198","233.8","255.5","257.4","282.8","313","19","19","19","19.33","20","20","11","12","12","12.04","12","13","37","37.25","38","37.96","38","39","703","715.2","721.5","720.7","727","732","34","35","35","34.83","35","35","2","3","3","3.152","3","4","30","31","32","31.7","32","33","23","23","23","23.04","23","24","10","10","10","10.52","10.75","13","27","28","28","27.98","28","28","10","10","10","10.11","10","11","821","836","838.5","839.9","846","855","115","116","118","117.6","119","121","46","47","47","47.43","48","49","31","32","33","32.59","33","34","277","280","281","281.3","282.8","286","151","155","157","157.6","160","163","187","189.2","191","191.7","194","198","151","155","157.5","157.7","160","163"
"176","Eurycea tridentifera","337","367","375.5","375.2","386.5","409","19","19","19","19","19","19","12","12","12","12.17","12","13","39","39","39","39.25","39.25","40","692","694","696","697.2","698.2","708","34","34","34","34.08","34","35","3","3","3","3","3","3","31","31","31","31.33","32","32","23","23","23","23","23","23","10","10","10","10.17","10","12","27","27","27","27","27","27","10","10","10","10","10","10","860","871.2","874.5","873.6","878.2","880","112","113","113","113.2","113.2","115","46","47","47","47.17","48","48","31","31","32","31.58","32","32","287","287.8","288.5","288.6","289.2","291","150","151","153","152.3","153.2","154","224","226.8","227.5","228","230","233","150","151","153","152.3","153.2","154"
"177","Eurycea troglodytes","192","238","278","293.2","332","514","19","20","20","19.85","20","21","11","13","13","12.83","13","13","39","41","41","40.91","41","42","665","676","683","683.1","689","701","33","35","35","34.89","35","36","3","3","4","3.741","4","4","30","31","31","31.06","31","32","22","23","24","23.74","24","25","10","12","12","12.07","13","14","27","28","28","27.78","28","29","10","11","11","11.01","11","12","619","653","682","685.8","709","851","87","93","96","95.99","99","110","27","32","34","34.05","36","42","32","36","38","37.61","40","42","215","229","236","237","245","279","94","106","113","113.1","119","143","172","176","182","185.3","190","232","98","110","115","115.3","121","143"
"178","Eurycea tynerensis","127","252","322","310.7","369","475","13","14","14","14.42","15","16","10","12","12","12.12","12","13","30","32","33","32.75","33","35","849","876","888","887.8","899","929","31","32","32","32.37","33","34","-7","-6","-5","-4.743","-4","-2","35","37","37","37.14","38","38","14","18","18","18.45","19","21","1","2","3","3.067","4","5","24","24","25","25.04","26","27","1","2","3","3.067","4","5","1040","1109","1135","1131","1152","1219","116","123","130","130.5","137","152","40","48","50","49.77","52","63","21","24","27","26.55","29","32","325","348","357","354.7","362","384","147","178","186","185","192","222","250","276","287","282","291","307","147","178","186","185","192","222"
"179","Eurycea wallacei","39","44","47","52.2","48","83","19","19","19","19","19","19","13","13","13","13","13","13","43","43","43","43","43","43","644","647","647","646.8","648","648","34","34","34","34","34","34","3","4","4","3.8","4","4","31","31","31","31","31","31","27","27","27","27","27","27","15","16","16","17.4","20","20","27","27","27","27","27","27","11","11","11","11","11","11","1401","1425","1427","1424","1433","1436","158","166","168","166.2","169","170","68","72","73","72","73","74","22","23","23","23","23","24","435","445","448","446.2","451","452","248","267","269","265.8","272","273","435","445","448","446.2","451","452","361","371","371","370.4","373","376"
"180","Eurycea waterlooensis","162","162.5","163","163","163.5","164","20","20","20","20","20","20","11","11","11","11","11","11","37","37","37","37","37","37","707","707.5","708","708","708.5","709","35","35","35","35","35","35","4","4","4","4","4","4","31","31","31","31","31","31","24","24","24","24","24","24","13","13","13","13","13","13","28","28.25","28.5","28.5","28.75","29","11","11","11","11","11","11","825","825.2","825.5","825.5","825.8","826","121","121","121","121","121","121","46","46","46","46","46","46","34","34","34","34","34","34","284","284.2","284.5","284.5","284.8","285","150","150","150","150","150","150","197","197.2","197.5","197.5","197.8","198","151","151","151","151","151","151"
"181","Eurycea wilderae","158","344","540.5","591.9","791","1670","8","12","13","12.87","14","16","9","12","13","12.94","14","15","32","37","38","38.02","39","42","661","741","765","763.7","789","827","22","28","30","29.57","31","33","-7","-5","-5","-4.41","-3","-1","27","33","34","33.96","35","37","2","6","12","12.87","20","23","-1","3.75","13","11.03","16","21","16","21","22","22.11","24","25","-1","2","3","3.218","4","7","950","1168","1300","1343","1493","2082","99","117","132","137.6","158","211","61","79","89","90.54","99","153","7","10","12","11.95","14","17","278","330","358","377.4","426","558","196","248","289","293","324","476","268","315","336","344.1","367","497","197","264","315","328.7","397","526"
"182","Gyrinophilus gulolineatus","238","272","286.5","288.9","305","340","14","14","14","14.01","14","15","12","13","14","13.69","14","14","36","38","38","38.12","39","39","797","803","808","807","810","817","31","32","32","31.94","32","32","-5","-4","-4","-4.01","-4","-3","35","36","36","35.83","36","37","5","6","6","11.28","21","22","14","20","20","19.02","20","20","23","24","24","23.96","24","24","3","4","4","3.975","4","4","1196","1219","1303","1312","1409","1443","122","127","138","138.6","151","157","71","73","79","80.13","87","91","13","15","15","14.88","15","16","331","338","359.5","366.3","396.2","414","246","253","267.5","270.1","289","302","315","321","326","326.3","332","339","297","312.8","342","345.3","380.2","396"
"183","Gyrinophilus palleucus","140","206","265.5","282.1","328","599","13","14","15","14.58","15","16","12","13","13","13.04","13","14","35","37","37","37.2","38","39","765","793.2","800","800.9","806","842","29","31","32","31.9","32","33","-4","-4","-3","-3.319","-3","-1","33","35","35","35.2","36","37","5","6","7","10.36","14","22","15","20","20","20.26","21","21","22","24","24","24.32","25","25","3","4","4","4.443","5","6","1197","1422","1441","1442","1477","1582","123","155","162","159.1","166","174","71","85","89","88.83","93","103","14","15","16","16.47","18","20","331","407","420","416.2","432","461","246","280","292","290.5","300","325","296","312","324","322.6","331","351","304","374","394","389","408.8","434"
"184","Gyrinophilus porphyriticus","-8","228","333","373.4","481","1670","1","7","10","10.02","13","18","8","11","12","11.97","13","15","21","30","32","32.83","37","42","661","809","904","896.5","963","1164","19","25","27","27.39","30","34","-20","-13","-9","-9.251","-5","1","27","35","37","36.64","38","42","-4","12","17","15.4","19","26","-11","-4","-1","3.27","13","23","14","19","21","20.78","23","27","-12","-5","-1","-1.347","2","9","747","1044","1136","1165","1248","2082","83","108","117","122.1","129","211","24","63","73","73.11","82","153","5","12","15","15.04","18","39","226","306","329","338.9","357","558","95","208","239","240.5","271","476","216","295","315","315.2","333","499","96","213","247","264.2","293","526"
"185","Gyrinophilus subterraneus","573","603.5","634","620.7","644.5","655","11","11","11","11","11","11","13","13","13","13","13","13","37","37","37","37","37","37","822","822.5","823","823","823.5","824","28","28","28","28.33","28.5","29","-8","-8","-8","-7.667","-7.5","-7","36","36","36","36","36","36","19","19","19","19","19","19","0","0","0","0.3333","0.5","1","21","21","21","21","21","21","0","0","0","0.3333","0.5","1","1000","1014","1028","1020","1030","1032","107","108","109","108.7","109.5","110","69","70.5","72","71","72","72","14","14","14","14","14","14","294","298","302","299.7","302.5","303","212","216","220","217.7","220.5","221","289","292","295","293.3","295.5","296","212","216","220","217.7","220.5","221"
"186","Hemidactylium scutatum","-8","153","248","275.6","357","1670","1","7","10","10.34","14","20","7","11","12","11.73","13","15","19","28","31","31.94","37","45","605","813","925","920.4","1005","1239","19","24","27","27.8","31","35","-23","-14","-10","-9.283","-5","8","25","35","37","37.09","39","47","-6","12","17","15.86","20","28","-13","-4","-1","3.187","12","27","14","19","21","21.35","24","28","-13","-6","-2","-1.359","3","12","699","954","1088","1103","1218","2082","78","104","113","119.3","127","211","14","51","67","63.72","78","153","5","14","18","19.24","22","62","226","294","319","331.4","353","562","53","175","222","215.3","260","476","186","277","302","303.8","324","562","53","183","233","241.8","289","526"
"187","Hydromantes ambrosii","3","169.5","289","332.6","447","1039","8","12","13","12.8","14","15","7","7","8","7.831","8","10","28","30","31","31","32","35","595","635","652","649.3","661.5","701","20","24","25","24.96","26","28","-3","-1","0","-0.09859","1","3","23","24","25","25.07","26","28","6","9","9","9.225","10","11","16","20","21","21.06","22","23","16","20","21","21.06","22","23","2","5","5","5.211","6","7","881","1076","1162","1231","1344","1775","116","143","151","163.4","183","239","22","28.5","34","34.92","40","55","29","35","36","35.9","37","40","305","387.5","417","444.4","495.5","647","125","147","161","168.9","184","248","125","147","161","168.9","184","248","217","310","332","346.5","378","500"
"188","Hydromantes brunus","514","525.2","579","581.5","639.5","650","15","15","15","15","15","15","15","15","15","15","15","15","45","45","45","45.33","45.75","46","683","685.2","686","686","687.5","688","31","32","32","31.83","32","32","-2","-2","-2","-2","-2","-2","33","33.25","34","33.67","34","34","7","7","7","7.333","7.75","8","23","23","23.5","23.5","24","24","24","24","24","24","24","24","7","7","7","7.333","7.75","8","718","719.8","755","753.8","787.2","789","127","127.5","133.5","133.8","140.2","141","2","2","2","2","2","2","85","86","86","85.83","86","86","355","356.2","374","374","391.8","393","11","11","12","12.33","13.75","14","15","16","16.5","16.5","17","18","355","356.2","374","374","391.8","393"
"189","Hydromantes flavus","30","169.2","240.5","296.3","427.8","666","14","15","16","15.39","16","16","8","8","9","9.053","10","10","32","35","36","36.18","38","39","577","594.5","605","604.3","611.8","628","26","28","28","28.16","29","30","1","2.25","3","3.184","4","5","24","25","25","25.16","26","26","11","12","13","12.63","13","14","22","23","23","23.11","24","24","22","23","23","23.16","24","24","7","8","9","8.658","9","10","439","471.8","504.5","524.9","576.8","665","68","74","78.5","80.97","87.75","97","4","5","6","6.342","8","10","49","50","50","50.29","51","52","181","193","204","211.2","229.8","256","33","37","40.5","41.82","46.75","55","48","53","54","56.16","58.75","67","152","167","178.5","187.4","207","241"
"190","Hydromantes genei","17","144","269","293.8","390.8","810","13","15","16","15.72","16","17","8","8","9","9.115","10","11","33","35","37","36.78","38","40","533","572","583","583.6","596","631","25","27","28","28.15","29","31","1","3","3","3.531","4","6","22","24","25","24.67","25","28","8","10","13.5","12.45","14","15","21","23","23","23.05","24","25","21","23","23","23.2","24","25","7","9","9","9.238","10","11","460","591","636","644.3","697.2","898","61","91","98.5","96.92","104.8","128","4","5","6","5.954","7","10","51","54","56","55.58","57","59","175","235","255","255.6","274.8","361","24","31","34","35.3","39","54","47","53","56","57.78","62","76","164","210.2","230.5","233.3","253.5","345"
"191","Hydromantes imperialis","125","428","620","634.9","830","1463","9","13","14","13.76","15","16","7","8","9","8.939","10","11","30","33","35","35.12","37","41","577","609","617","614.6","623.5","629","21","25","27","26.29","28","29","-2","0","1","1.02","2","5","23","24","25","25.3","26","27","4","7","8","9.306","12","14","17","21","22","21.59","23","24","17","21","22","21.71","23","24","3","6","7","6.959","8","10","341","595","674","664.6","756.5","948","48","93","102","98.25","109","125","4","8","11","10.52","13","16","46","47","49","50.07","52","57","140","232.5","265","258.9","289.5","348","27","47","55","53.1","61","73","45","62","71","69.67","78","93","109","216","246","243.2","279.5","348"
"192","Hydromantes italicus","47","429.5","597","662","824","2052","3","10","12","11.36","13","15","6","8","8","8.385","9","11","26","31","32","31.99","33","38","575","649","668","667","690","746","15","23","25","24.27","26","28","-8","-3","-2","-1.917","-1","2","22","25","26","26.18","27","31","3","8","9","10.01","13","16","-3","6","18","14.12","20","23","11","19","20","19.82","21","23","-3","3","4","3.633","5","7","710","889","1007","1092","1254","1914","77","101","127","136.6","168","258","31","47","51","52.19","57","71","16","21","24","24.95","30","37","227","282","325","363.9","434.5","688","129","171","194","194.5","215","286","149","193","209","209.7","223","293","150","180","232","261.7","324.5","564"
"193","Hydromantes platycephalus","103","1211","1891","1845","2472","3772","-2","5","9","9.346","14","21","7","13","14","14.53","16","21","29","42","44","43.38","45","50","575","649","688","704.8","750","948","13","22","26","26.72","32","43","-15","-10","-7","-6.716","-3","1","24","31","33","33.45","36","43","-8","-2","2","2.013","6","21","2","13","17","16.71","21","31","7","14","18","18.53","23","33","-9","-2","1","1.502","5","11","82","281","583","564.9","769.8","1538","14","46","104","100.5","138","299","0","4","7","7.932","12","24","19","60","70","68","81","88","35","126","281","272.9","371","786","4","17","30","30.82","42","81","4","24","39","38.75","50","101","31","126","276","269.1","365","786"
"194","Hydromantes shastae","354","439","509","538.5","631","851","12","13","14","14.21","15","16","11","12","12","12","12","13","37","39","41","41","43","44","628","654","664","664.2","678","696","26","28","28","28.28","29","30","-3","-2","-1","-1","0","1","27","29","29","29.24","30","30","6","7","7","7.448","8","9","20","22","22","22.55","24","24","21","22","22","22.66","24","25","6","6","7","6.828","7","8","1431","1472","1503","1505","1540","1613","244","268","271","268.6","275","284","6","6","6","6.207","6","7","77","80","80","80.38","81","83","692","728","738","736.9","754","787","36","39","42","41.41","44","46","41","44","55","51.1","56","61","683","718","726","727.3","744","779"
"195","Hydromantes strinatii","35","508","738","774.9","992","2488","0","9","11","10.5","12","15","6","8","8","8.288","9","11","27","31","33","32.78","34","37","514","602","625","630.6","651","780","10","21","23","22.88","25","28","-10","-4","-3","-2.4","-1","5","20","24","25","25.27","26","30","-1","8","10","9.712","12","17","3","17","19","18.27","20","23","7","17","19","18.48","21","23","-5","2","3","3.175","4","9","723","850","955","1094","1319","2084","99","120","130","157.2","199","295","15","26","34","38.34","52","70","25","30","33","33.96","37","52","238","295","314","382.2","472","764","83","125","154","169.3","215","288","89","126","154","171.3","216","288","155","214","236","268.9","312","538"
"196","Hydromantes supramontis","140","339.2","573","570","730.2","1146","11","13","14","14","15","16","6","7","7","7.556","8","9","28","30","31","32.11","34.25","37","577","591.8","598.5","598.9","608.2","617","23","25","26","26.11","28","29","-1","1.75","3","2.528","4","5","22","23","24","23.72","25","25","5","10.75","11.5","10.72","13","14","19","21","22","21.75","23","24","19","21","22","21.78","23","24","4","6.75","8","7.444","9","10","366","481","551","572.1","632.8","810","53","74.75","83","83.86","92.25","106","4","6","9","8.972","11.25","15","46","47","48","48.33","50","51","153","196.8","215.5","221.6","241","295","28","39","47","47.31","54.25","66","43","56","66","65.53","73.25","84","119","169.2","195","203.8","227.2","295"
"197","Isthmura bellii","301","1657","1934","1931","2227","4521","6","16","18","17.65","19","27","8","14","16","15.43","17","21","53","69","70","70.16","72","84","82","203","241","241.2","268","573","13","26","28","28.15","30","38","-4","4","6","6.053","8","17","13","20","22","22.11","24","34","6","18","20","19.53","21","29","4","14","17","16.56","19","27","7","19","21","20.34","22","29","4","13","14","14.45","16","24","348","655","817","827.5","963","2054","60","158","200","194.5","230","431","0","4","5","5.796","7","40","69","95","106","103.2","113","125","158","414.2","531","517.8","607","1263","5","17","23","24.48","29","133","108","178","245","295.1","395","1107","14","29","35","41.51","46","219"
"198","Ixalotriton niger","934","978.2","1008","994.5","1024","1029","22","22","22","22","22","22","11","11","11","11","11","11","66","66","66","66","66","66","183","184.5","186","186","187.5","189","31","31","31","31","31","31","13","13.75","14","13.75","14","14","17","17","17","17","17","17","23","23","23","23.25","23.25","24","20","21.5","22","21.5","22","22","24","24","24","24","24","24","20","20","20","20","20","20","1168","1170","1221","1226","1277","1294","222","223.5","228.5","228.2","233.2","234","15","15","17","17.25","19.25","20","76","77.5","81.5","81.25","85.25","86","594","599.2","610","608.5","619.2","620","57","57.75","65.5","66","73.75","76","328","331.8","339","337.8","345","345","73","78.25","93","94.75","109.5","120"
"199","Ixalotriton parvus","1201","1321","1386","1368","1432","1499","20","20.75","21","20.75","21","21","10","10.75","11","11","11.25","12","74","74","74","74.25","74.25","75","120","127.5","131.5","131.2","135.2","142","27","27.75","28","28","28.25","29","13","13","13","13","13","13","14","14.75","15","15","15.25","16","21","21","21","21.25","21.25","22","19","19","19.5","19.75","20.25","21","22","22","22","22.25","22.25","23","19","19","19","19","19","19","836","842","847.5","856.8","862.2","896","148","156.2","161","159","163.8","166","9","14.25","16","14.75","16.5","18","76","78.25","82","82.75","86.5","91","409","430","442","437.5","449.5","457","37","49","57","53","61","61","341","359","368","364.5","373.5","381","37","49.75","63","60.75","74","80"
"200","Karsenia koreana","85","195.8","262.5","290.6","352.5","835","9","11","11","11.16","12","13","10","11","11","11.29","12","12","28","29","30","29.53","30","31","917","966","980","976.2","987.8","1003","27","29","30","29.63","30","31","-10","-9","-8","-8.374","-8","-6","35","38","38","38.06","39","39","21","22","23","22.78","23","24","-3","-2","-1","-1.248","-1","0","21","22","23","22.78","23","24","-3","-2","-1","-1.248","-1","0","1244","1271","1290","1295","1307","1427","280","299","303.5","304.8","309","337","25","26","27","27.58","29","35","76","83","84","84.04","85","88","694","708","718","721.3","731","794","86","89","93","94.15","98","116","694","708","718","721.3","731","794","86","89","93","94.15","98","116"
