"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"21","Bolitoglossa dunni","11","543","841","857.8","1122","2118","16","21","22","22.2","24","27","8","9","9","9.407","10","11","63","67","69","69.17","71","77","91","129","140","137.5","147","161","21","27","29","28.82","31","34","10","14","16","15.23","17","20","12","13","14","13.59","14","15","16","22","23","23.08","25","27","15","20","22","21.87","24","27","17","22","24","23.65","25","28","14","19","21","20.35","22","25","1195","1457","1594","1594","1720","1978","186","255","270","267.4","288","318","1","19","29","27.71","37","60","42","58","67","68.23","79","98","480","662","705","699.7","752","853","9","70","108","101.5","135","210","155","401","451","424.8","471","530","23","125","178","181.7","238","417"
"22","Bolitoglossa odonnelli","32","365","598","645.2","885.5","1939","16","22","24","23.48","25","28","8","9","9","9.332","10","11","63","67","69","68.79","71","75","121","132.5","137","137.3","142","160","23","29","30","30.07","32","34","10","15","17","16.51","18","20","12","13","13","13.55","14","16","17","23","25","24.42","26","28","15","22","23","23.12","25","27","18","24","25","24.9","26","29","15","20","22","21.65","23","26","1343","2023","2308","2421","3008","3783","197","327","410","429.7","556","703","11","37","53","55.98","79.5","115","51","64","68","67.86","72.5","79","544","899","1097","1128","1438","1751","64","132","177","186.7","249.5","353","363","486.5","592","672","764.5","1356","109","178.5","242","256.3","337","419"
"23","Bradytriton silus","43","617.2","1060","1138","1534","2773","12","19","21","20.94","24","26","8","10","11","10.76","11","12","58","66.75","70","69.26","73","78","132","139.8","148","158.6","165","218","19","27","29","28.45","31","35","3","11","13","12.86","16","18","14","15","16","15.58","16","17","13","20","22","21.98","25","27","9","19","21","20.83","24","28","13","21","23","22.58","25","29","9","17","19","18.75","22","23","1518","2478","3010","3014","3464","4752","276","393.5","467","487.2","536.2","840","25","58.75","78.5","81.65","107.2","143","46","56.75","62","60.42","66","75","702","1053","1273","1305","1511","2122","88","195.2","266","273.1","374.2","449","507","665","775","755","820.2","1038","88","282.2","387.5","403.1","546","656"
"24","Desmognathus fuscus","-14","88","193","241.2","336","1670","1","8","13","12.2","16","21","7","11","12","12.19","13","15","21","30","35","34.39","39","48","503","762","845","856.8","937","1192","19","26","30","29.31","33","35","-21","-11","-6","-6.461","-1","9","23","34","36","35.78","37","44","-8","11","17","15.66","20","28","-11","-2","11","8.432","19","27","14","20","23","22.48","26","28","-13","-3","2","1.323","7","15","747","1092","1187","1225","1357","2082","83","112","124","130.2","149","242","24","67","76","74.71","82","153","5","13","16","16.33","19","50","226","315","346","361.3","408","641","95","222","251","248.6","273","476","216","296","315","326","340","641","96","233","277","293.6","358","526"
"25","Eurycea bislineata","-8","167","294","305.6","402","1670","-6","2","6","6.873","11","20","6","10","11","11.11","12","15","16","24","28","28.88","33","45","603","881.2","1003","1012","1147","1396","13","21","24","24.94","28","35","-30","-20","-15","-14.12","-8","5","27","36","38","39.06","42","48","-13","13","16","14.73","19","27","-23","-8","-4","-1.527","1","23","9","16","18","18.91","22","28","-23","-12","-7","-6.09","0","12","740","980","1077","1085","1162","2082","78","107","114","116.2","123","211","24","55","65","64.83","76","153","5","13","16","18.44","21","42","226","304","323","327.4","343","558","95","183","214","213.7","248","476","205","289","310","311.6","330","542","96","194","229","234.2","267","526"
"26","Eurycea longicauda","-8","145","245","283.4","356","1670","5","11","13","13","15","22","8","12","12","12.43","13","15","24","31","34","34.59","37","49","497","798","868","854.9","920","1057","21","28","31","30.31","32","36","-15","-9","-6","-5.77","-3","8","25","35","36","36.09","37","41","2","14","18","16.81","20","27","-7","0","3","8.298","20","27","16","22","24","23.27","25","28","-8","-1","2","2.127","4","15","622","1068","1156","1198","1315","2082","91","113","124","128.5","141","211","26","61","73","70.92","81","153","7","14","17","17.77","20","48","214","318","345","356.1","386","573","86","206","242","237.6","266","476","174","291","309","313.9","327","573","88","207","253","272.7","334","526"
"27","Plethodon aureolus","241","300.2","389","486.8","572","1430","9","13","14","13.32","14","15","11","13","13","13.2","14","14","36","38","38","38.25","39","41","682","755.2","779","773.2","795.8","812","24","29","31","30.36","32","32","-6","-4","-4","-4.167","-4","-3","29","34","35","34.41","35","36","2","5","6","6.59","6","22","13","16","19","18.11","20","20","17","22","23","22.8","24","24","1","3","4","3.617","4","5","1197","1341","1444","1442","1515","1885","123","142","155","152.2","161","193","72","80","87","86.74","90.75","123","11","14","15","14.34","15","15","331","375","414","407.1","434.8","512","247","273.2","301","299.8","315","411","315","339.2","357.5","362","379.8","463","299","355","390.5","382.5","406.8","481"
"28","Plethodon dorsalis","10","163","218","245.2","286","1670","8","13","14","14.01","15","19","10","12","13","12.71","13","15","28","33","36","35.37","38","43","660","790","834","841.6","893","1030","22","30","31","31.37","32","35","-12","-6","-5","-4.65","-3","3","28","35","36","36.06","37","40","3","11","14","14.17","18","23","-3","14","20","16.29","21","23","16","23","24","24.11","25","27","-3","2","3","3.29","5","11","950","1187","1316","1310","1437","1839","104","124","132","140.3","162","184","39","73","79","78.06","86","126","10","15","16","17.08","19","30","300","351","372","385.1","427","498","147","251","271","263.4","283","417","266","307","319","320.4","333","465","147","272","328","326.4","394","457"
"29","Plethodon jordani","2","596","777","774","949","1670","8","11","12","11.82","13","19","9","12","13","12.58","13","14","32","37","38","37.7","39","45","634","728","754","753.9","786","813","22","27","28","28.19","30","35","-8","-6","-5","-5.162","-5","4","27","32","33","33.35","35","37","2","9","18","14.52","20","27","-1","6","11","9.569","14","20","16","20","21","20.92","22","27","-1","1","2","2.302","3","11","945","1130","1251","1325","1470","2082","99","117","124","135","153","211","61","74","84","88.69","97.5","153","7","11","12","12.06","13","32","276","326","350","371.5","412","558","195","241","268","288.8","323.5","476","268","314","338","352","382.5","497","196","264","285","315.3","363.5","526"
"30","Plethodon richmondi","158","274","336","434.1","546","1660","7","11","11","11.37","12","14","9","12","12","12.38","13","14","28","33","35","34.35","36","39","672","821","857","858.5","896","983","22","28","29","28.63","30","32","-11","-9","-7","-7.463","-6","-3","27","35","37","36.08","37","38","7","19","20","19.15","20","23","-3","0","1","4.679","13","20","16","21","22","21.67","23","24","-3","-1","1","0.4637","1","5","898","1033","1126","1123","1193","1669","91","112","119","118.6","125","166","45","66","74","72.82","80","121","8","13","15","15.34","17","25","266","314","330","330.4","347","451","164","211","243","237.8","261","384","260","303","318","317.6","332","431","165","212","247","242.9","267.2","384"
