x,y,species avg
384.0,384.0,1.6604461E-7
385.0,385.0,4.432067E-5
386.0,386.0,0.051843323
387.0,387.0,0.14827733
388.0,388.0,0.4825841
389.0,389.0,0.92002344
390.0,390.0,0.17872325
391.0,391.0,3.879409E-5
392.0,392.0,0.07846986
393.0,393.0,0.20216899
394.0,394.0,0.4073349
395.0,395.0,0.3401537
396.0,396.0,0.006102598
397.0,397.0,0.3846845
398.0,398.0,0.049079396
399.0,399.0,0.10838534
400.0,400.0,0.12859386
401.0,401.0,0.28433555
402.0,402.0,0.261394
403.0,403.0,0.06324008
404.0,404.0,0.0027884562
405.0,405.0,0.21547514
406.0,406.0,0.22463761
407.0,407.0,5.6313624E-5
408.0,408.0,5.7762376E-5
409.0,409.0,0.0010479281
410.0,410.0,0.59596986
411.0,411.0,0.10737829
412.0,412.0,3.9011834E-8
413.0,413.0,0.22316526
414.0,414.0,0.17231824
415.0,415.0,0.007172498
416.0,416.0,2.4621482E-5
417.0,417.0,0.012463185
418.0,418.0,0.9772487
419.0,419.0,6.1277207E-4
420.0,420.0,0.073308036
421.0,421.0,0.14122388
422.0,422.0,0.023062885
423.0,423.0,0.28140214
424.0,424.0,0.18172286
425.0,425.0,0.23174231
426.0,426.0,0.189329
427.0,427.0,0.1987364
428.0,428.0,0.095021844
429.0,429.0,2.2656507E-6
430.0,430.0,5.376362E-8
431.0,431.0,0.15004948
432.0,432.0,0.38343176
433.0,433.0,0.1923827
434.0,434.0,0.12997735
435.0,435.0,2.2345548E-9
436.0,436.0,1.5816556E-7
437.0,437.0,0.5820632
438.0,438.0,0.21090204
439.0,439.0,0.0010752251
440.0,440.0,0.016214276
441.0,441.0,0.0344259
442.0,442.0,8.78055E-7
443.0,443.0,1.07157175E-5
444.0,444.0,1.3451999E-4
445.0,445.0,0.0017216498
446.0,446.0,4.4988856E-6
447.0,447.0,0.010382594
448.0,448.0,0.36804035
449.0,449.0,0.0024773455
450.0,450.0,0.4671644
451.0,451.0,0.07787011
452.0,452.0,1.0446986E-7
453.0,453.0,1.2331828E-5
454.0,454.0,0.009061066
455.0,455.0,0.034802955
456.0,456.0,0.025071751
457.0,457.0,0.15582378
458.0,458.0,2.9331845E-6
459.0,459.0,0.48882955
460.0,460.0,2.5049862E-5
461.0,461.0,0.26235902
462.0,462.0,0.096143976
463.0,463.0,5.40188E-4
464.0,464.0,0.0050404174
465.0,465.0,8.183336E-8
466.0,466.0,0.034081955
467.0,467.0,1.2566288E-5
468.0,468.0,3.1025215E-6
469.0,469.0,0.17984945
470.0,470.0,0.08186441
471.0,471.0,0.12110467
472.0,472.0,0.38729092
473.0,473.0,0.16991045
474.0,474.0,0.90467316
475.0,475.0,6.4238416E-6
476.0,476.0,0.09801548
477.0,477.0,0.06242264
478.0,478.0,0.01489068
479.0,479.0,0.1699235
480.0,480.0,3.3642174E-4
481.0,481.0,0.0045657502
482.0,482.0,1.007097E-4
483.0,483.0,0.8905758
484.0,484.0,0.100332566
485.0,485.0,0.36913535
486.0,486.0,1.1460466E-7
487.0,487.0,0.027638057
488.0,488.0,0.08389361
489.0,489.0,0.17143944
490.0,490.0,3.1541497E-8
491.0,491.0,0.9351716
492.0,492.0,0.7397239
493.0,493.0,1.3462733E-4
494.0,494.0,0.019671753
495.0,495.0,0.022469996
496.0,496.0,0.1418295
497.0,497.0,4.3734563E-9
498.0,498.0,7.332021E-4
499.0,499.0,2.1907168E-5
500.0,500.0,0.5380158
501.0,501.0,0.09682731
502.0,502.0,0.003913516
503.0,503.0,0.21700267
504.0,504.0,5.6161956E-5
505.0,505.0,0.0030102362
506.0,506.0,0.053418662
507.0,507.0,4.4378196E-4
508.0,508.0,0.16317841
509.0,509.0,1.2552648E-4
510.0,510.0,0.00783876
511.0,511.0,0.353476
512.0,512.0,0.0012935775
513.0,513.0,4.663609E-5
514.0,514.0,0.14731787
515.0,515.0,0.08091188
516.0,516.0,0.26242885
517.0,517.0,0.03829976
518.0,518.0,0.12504473
519.0,519.0,3.9192497E-7
520.0,520.0,4.0953022E-8
521.0,521.0,0.23595907
522.0,522.0,0.04014017
523.0,523.0,2.930157E-7
524.0,524.0,0.12188904
525.0,525.0,4.5055963E-9
526.0,526.0,0.04202649
527.0,527.0,4.205032E-4
528.0,528.0,1.9751018E-5
529.0,529.0,0.12201011
530.0,530.0,4.544624E-6
531.0,531.0,0.0013703643
532.0,532.0,4.753516E-7
533.0,533.0,5.720303E-5
534.0,534.0,1.6160533E-5
535.0,535.0,1.1458925E-7
536.0,536.0,4.273458E-6
537.0,537.0,0.01311629
538.0,538.0,0.033455167
539.0,539.0,0.1712089
540.0,540.0,0.1280167
541.0,541.0,0.51797676
542.0,542.0,1.7913047E-5
543.0,543.0,0.14927661
544.0,544.0,0.37178794
545.0,545.0,5.1222095E-8
546.0,546.0,0.25393724
547.0,547.0,1.4910165E-7
548.0,548.0,6.942916E-5
549.0,549.0,3.7867466E-8
550.0,550.0,0.8859629
551.0,551.0,2.9234495E-6
552.0,552.0,0.19502099
553.0,553.0,2.8217171E-5
554.0,554.0,0.20871212
