X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
3917.0,3917.0,train,1.4652715347823883E-4,33.757236145436224,0.6480937843629578
3918.0,3918.0,train,1.4390405420305975E-4,32.08801266816261,0.6414524903561234
3919.0,3919.0,train,1.424229141329367E-4,31.238995635556986,0.6376472498251566
3920.0,3920.0,train,1.3298416504656824E-4,26.375869468265513,0.6124309419090447
3921.0,3921.0,train,1.216502520234957E-4,21.71075351062917,0.5798222118663248
3923.0,3923.0,train,1.1970823640662198E-4,20.978706127946996,0.5739656889294094
3924.0,3924.0,train,1.2631102088371242E-4,23.512460019830872,0.593551302701864
3925.0,3925.0,train,1.1738131940086671E-4,20.25283057576191,0.566840822127104
3926.0,3926.0,train,1.059444087008946E-4,16.99386262397109,0.5300514197366819
3927.0,3927.0,train,1.1738100519389555E-4,20.25272299635905,0.5668398520446419
3928.0,3928.0,train,1.1445587701865349E-4,19.340952708901426,0.5577139996537326
3929.0,3929.0,train,1.1284129351229201E-4,18.804683322172135,0.5525947077620589
3930.0,3930.0,train,1.1834959398327786E-4,20.503271213834747,0.5698199771505117
3931.0,3931.0,train,1.2425844084725784E-4,22.786670066561406,0.5875612394550543
3932.0,3932.0,train,1.22819346869009E-4,22.109612401389295,0.5833089510546532
3933.0,3933.0,train,6.551971889195591E-5,10.115532360490727,0.37311989247038124
3936.0,3936.0,train,1.978536604757791E-4,66.5564446843123,0.7559120469841245
3937.0,3937.0,train,1.7488000961399602E-4,50.53539031550154,0.7124846681609531
3938.0,3938.0,train,1.6733407193127785E-4,46.01150760888562,0.6965973505364075
3939.0,3939.0,train,1.7796592651079393E-4,52.50862773371217,0.7187396004047302
3940.0,3940.0,train,1.715837002250249E-4,48.468252796170034,0.7056495561205296
3941.0,3941.0,train,1.7107786575595662E-4,48.1118559261012,0.7045863901131697
3942.0,3942.0,train,1.68082036853445E-4,46.44931953739061,0.6982105508050188
3943.0,3943.0,train,1.5000750437189317E-4,35.66481687185712,0.6567160071999478
3944.0,3944.0,train,1.3718609665466558E-4,28.35877097239584,0.6238664541579173
3945.0,3945.0,train,1.2583096551729373E-4,23.36027851161403,0.5921581936654328
3946.0,3946.0,train,1.1882156105607524E-4,20.685534630149686,0.5712646732136708
3947.0,3947.0,train,1.1119567854575293E-4,18.278200690787873,0.5473160481795318
3948.0,3948.0,train,1.0837008780975043E-4,17.57507351459811,0.5381066803950438
3949.0,3949.0,train,1.2087646716104149E-4,21.444000036069795,0.5774984248491172
3950.0,3950.0,train,1.2038547169366466E-4,21.24032942577761,0.5760172347443921
3951.0,3951.0,train,1.1855414456786329E-4,20.582234661523227,0.5704467053549472
3952.0,3952.0,train,1.1193930953825575E-4,18.503032040386973,0.5497090717034768
3953.0,3953.0,train,1.1094313011268466E-4,18.191576099162294,0.5465004513187794
3955.0,3955.0,train,1.260704357972744E-4,23.436190826013718,0.5928537264526519
3956.0,3956.0,train,1.2754786562412776E-4,24.102872500271225,0.5971187111752276
3957.0,3957.0,train,4.905826735554132E-5,8.147770569338348,0.2950785653711141
3958.0,3958.0,train,1.7461907230255708E-4,50.337662810120456,0.7119494313821348
3959.0,3959.0,train,1.8254553343406804E-4,55.561754735270995,0.7277722017574003
3960.0,3960.0,train,1.708157935827364E-4,47.97023531613123,0.7040340559283091
3961.0,3961.0,train,1.6790053702546212E-4,46.36132497081516,0.6978198844185466
3962.0,3962.0,train,1.724847765769897E-4,49.00726636200313,0.7075339740502162
3963.0,3963.0,train,1.6656760361894428E-4,45.625632630656305,0.6949352961138288
3966.0,3966.0,train,1.615304904975381E-4,42.44074024226469,0.6837836755694047
3967.0,3967.0,train,1.356541015049368E-4,27.546384677505667,0.619736762920296
3968.0,3968.0,train,1.4493596094031883E-4,32.751216811147025,0.6440799487003563
3969.0,3969.0,train,1.522242541964138E-4,36.9070853809343,0.6620973247636444
3970.0,3970.0,train,1.4418270000898458E-4,32.27276032696374,0.6421638886997918
3971.0,3971.0,train,1.403092535672785E-4,30.055609641791182,0.6321469400541677
3973.0,3973.0,train,1.2631753177676526E-4,23.515610392320667,0.5935701644112987
3974.0,3974.0,train,1.1921217771737749E-4,20.821401237954266,0.5724566846686165
3975.0,3975.0,train,1.267823525155547E-4,23.740519395783764,0.5949144659105559
3976.0,3976.0,train,1.2344228719959104E-4,22.353770374237797,0.5851549933821134
3978.0,3978.0,train,1.1969190606327172E-4,20.97352762201624,0.5739160971150079
3979.0,3979.0,train,1.2122564370308421E-4,21.572044924730896,0.5785486390780363
3980.0,3980.0,train,1.350639496052011E-4,27.215935955100317,0.6181338619034964
3981.0,3981.0,train,1.7653230750208572E-4,51.58983023472511,0.7158508638662875
3982.0,3982.0,train,1.6615504810931465E-4,45.433487518429104,0.6940369206740314
3983.0,3983.0,train,1.5740292684880816E-4,39.95891479259247,0.674342480538755
3984.0,3984.0,train,1.4536688446876344E-4,33.01238673740698,0.6451714662020025
3986.0,3986.0,train,1.4022570174145163E-4,29.997793851435397,0.631927808726102
3987.0,3987.0,train,1.6805569846213764E-4,46.43655018464167,0.6981538905019041
3988.0,3988.0,train,1.4792430066201795E-4,34.5794512950958,0.6515807951865575
3989.0,3989.0,train,1.5382138169683004E-4,37.880945636960746,0.6659221046604011
3990.0,3990.0,train,1.4200672667194394E-4,30.996858898193352,0.6365707605831261
3991.0,3991.0,train,1.346967950822054E-4,27.035279874351698,0.6171332325318328
3992.0,3992.0,train,1.1535996739972956E-4,19.65925132951145,0.5605549348167482
3994.0,3994.0,train,1.2480168728147323E-4,23.010174063452077,0.5891551379186628
3996.0,3996.0,train,1.1473393994746905E-4,19.4361239374049,0.5585897106764803
3997.0,3997.0,train,1.1348083580479597E-4,19.035029694124706,0.5546295265750794
3999.0,3999.0,train,1.8110603355650043E-4,54.563052271119815,0.7249647078983652
4000.0,4000.0,train,1.5199939060282961E-4,36.76183789432764,0.6615553192748328
4001.0,4001.0,train,1.5925666747514732E-4,41.154125085756824,0.6786170162653584
4002.0,4002.0,train,1.6757241940520108E-4,46.176497131761614,0.697112348964563
4003.0,4003.0,train,1.6934599009702523E-4,47.213431274293015,0.7009171570742463
4004.0,4004.0,train,1.5001653217005124E-4,35.66915224104212,0.6567380957012756
4005.0,4005.0,train,1.3585066946205306E-4,27.66297364489673,0.6202691624871137
4006.0,4006.0,train,1.195551785781159E-4,20.93017004663705,0.5735006579668163
4007.0,4007.0,train,1.1081373899501725E-4,18.145268201569014,0.546082017832434
4008.0,4008.0,train,1.0692858970093044E-4,17.206921613310378,0.533336513565402
4009.0,4009.0,train,1.2476714702190867E-4,22.995963411379467,0.5890539795662291
4010.0,4010.0,train,1.2012657914417356E-4,21.13799241048816,0.5752341417367324
4011.0,4011.0,train,1.0566631440274243E-4,16.912340459793604,0.5291189864990762
4012.0,4012.0,train,1.0399573447668739E-4,16.50389836774134,0.5234785662427903
4013.0,4013.0,train,1.386871045092286E-4,29.106098710888762,0.6278691146812351
4014.0,4014.0,train,1.296047323254925E-4,25.07831281853298,0.6029820968418244
4017.0,4017.0,train,1.1215587686605221E-4,18.5743472691783,0.5504036093922651
4019.0,4019.0,train,1.2007440438233342E-4,21.117368373950015,0.5750761495309029
4020.0,4020.0,train,1.0631185728223234E-4,17.075917974927215,0.531280621442811
4021.0,4021.0,train,1.2061815146737619E-4,21.33654813533114,0.5767198079559883
4022.0,4022.0,train,1.0237859719045655E-4,16.14310320079937,0.5179542379545103
4023.0,4023.0,train,9.91167146920676E-5,15.223991840619325,0.5066156296709232
4026.0,4026.0,train,9.768734278494096E-5,14.922406435586026,0.5015633237486046
4027.0,4027.0,train,9.797609195224811E-5,14.985982743113375,0.5025880992356202
4028.0,4028.0,train,1.1847592363156384E-4,20.55201879742415,0.5702071499545092
4029.0,4029.0,train,1.05328580893731E-4,16.813335313867157,0.5279840985317094
4030.0,4030.0,train,9.28461530303218E-5,13.957251338343998,0.48406399479766526
4031.0,4031.0,train,8.853716473373675E-5,13.210492704897302,0.46797228243376265
4032.0,4032.0,train,1.0704643509600727E-4,17.231953823477564,0.5337283266056666
4035.0,4035.0,train,7.572345886798465E-5,11.37801692798161,0.4170934532858175
4036.0,4036.0,train,8.181685539857964E-5,12.251010977507388,0.44186803429717114
4037.0,4037.0,train,8.32116879061771E-5,12.434618546519522,0.4473894027736993
4039.0,4039.0,train,6.440090156659778E-5,10.026225806885607,0.36810084509405594
4040.0,4040.0,train,5.914812801211954E-5,9.433202077554716,0.34399420981750073
4041.0,4041.0,train,6.473035837081604E-5,10.05252380127631,0.3695829579371849
4042.0,4042.0,train,5.0564577607728065E-5,8.31634645455753,0.30260641059604987
4043.0,4043.0,train,1.174098139919498E-4,20.260912479607146,0.5669287872832274
4044.0,4044.0,train,1.0464094503266105E-4,16.646800455494745,0.5256649706570253
4045.0,4045.0,train,1.0061001612825575E-4,15.648498283927077,0.5118392126934408
4046.0,4046.0,train,7.002637741114367E-5,10.589712111873284,0.39293641691596315
4047.0,4047.0,train,5.605440982229556E-5,8.993691381996333,0.32936804928120733
4048.0,4048.0,train,4.999209441929907E-5,8.25033567505441,0.29975492043711416
4049.0,4049.0,train,1.1449051914229015E-4,19.35280949786108,0.5578231936885674
4050.0,4050.0,train,7.039829598373502E-5,10.633857755095804,0.3945435482531995
4051.0,4051.0,train,1.352345817524191E-4,27.30624159211031,0.618598005931225
4052.0,4052.0,train,5.9870402283460925E-5,9.53848571461781,0.34736271508701266
4053.0,4053.0,train,5.382723778444941E-5,8.724098014899146,0.31863719029133486
4054.0,4054.0,train,1.1031830296478257E-4,17.984071983672234,0.544476271870407
4055.0,4055.0,train,4.84523826816793E-5,8.081224387461445,0.2920277663036076
4056.0,4056.0,train,4.604027675953967E-5,7.814195752654176,0.2797506575972991
4057.0,4057.0,train,3.954525894787359E-5,7.0418791813716295,0.2456235522968977
4058.0,4058.0,train,8.402731388586366E-5,12.54473227709307,0.45059267110887025
4059.0,4059.0,train,6.0736074121629274E-5,9.640456426381228,0.3513772094351253
4060.0,4060.0,train,7.044913736546227E-5,10.639892477919762,0.3947629127796909
4061.0,4061.0,train,5.3187650473050393E-5,8.638204658036342,0.3155239446575676
4062.0,4062.0,train,2.035641567965274E-5,3.946386590797771,0.13505805772555235
4063.0,4063.0,train,1.9982950385977276E-5,3.8675780060831007,0.13275258391766742
4064.0,4064.0,train,2.0032646616646617E-5,3.878064896487723,0.13305972250284714
4065.0,4065.0,train,9.558526533401295E-5,14.483214738874423,0.4940391108639284
4066.0,4066.0,train,7.801007652413994E-5,11.694147013187544,0.42651675340702533
4067.0,4067.0,train,4.070896080362407E-5,7.179544497475847,0.2518547970476305
4068.0,4068.0,train,3.0068597901982808E-5,5.7304852194605305,0.19290805578192827
4069.0,4069.0,train,4.308227918346275E-5,7.460612411581488,0.2644040714777981
4070.0,4070.0,train,3.833984498555175E-5,6.886602540312626,0.23911422399064197
4071.0,4071.0,train,8.918074295504663E-6,1.4209172798453586,0.06158658622365232
4073.0,4073.0,train,1.4627844188769992E-4,33.57085366949416,0.6474693988886331
4074.0,4074.0,train,5.75743436801171E-5,9.189780174055363,0.33659414008837096
4075.0,4075.0,train,1.2482175799795745E-4,23.017242425288885,0.5892139077578218
4076.0,4076.0,train,8.264446580693441E-5,12.360299493144304,0.4451507053888186
