x,y,species min
310.0,310.0,7.708137E-4
311.0,311.0,5.0920357E-6
312.0,312.0,1.3085247E-6
313.0,313.0,0.0014143258
314.0,314.0,0.008840856
315.0,315.0,1.5062077E-5
316.0,316.0,3.207438E-5
317.0,317.0,3.6637147E-8
318.0,318.0,2.7240612E-8
319.0,319.0,9.092936E-9
320.0,320.0,1.9548174E-4
321.0,321.0,7.090763E-4
322.0,322.0,1.269038E-4
323.0,323.0,1.6611668E-7
324.0,324.0,2.4738367E-7
325.0,325.0,1.1686208E-12
326.0,326.0,5.350557E-7
327.0,327.0,2.7412106E-10
328.0,328.0,1.0242437E-6
329.0,329.0,2.6433366E-7
330.0,330.0,1.7586966E-6
331.0,331.0,0.001155074
332.0,332.0,3.1769165E-8
333.0,333.0,3.910789E-5
334.0,334.0,0.090728976
335.0,335.0,3.022622E-6
336.0,336.0,7.0983035E-8
337.0,337.0,0.63833445
338.0,338.0,2.3982116E-7
339.0,339.0,4.106043E-5
340.0,340.0,4.013666E-10
341.0,341.0,8.043917E-6
342.0,342.0,3.0368733E-6
343.0,343.0,1.94773E-5
344.0,344.0,9.116357E-6
345.0,345.0,2.2235579E-6
346.0,346.0,6.812161E-6
347.0,347.0,3.3094167E-7
348.0,348.0,0.005228264
349.0,349.0,3.9219983E-10
350.0,350.0,0.0020726814
351.0,351.0,6.3756543E-6
352.0,352.0,0.6801074
353.0,353.0,2.4067417E-6
354.0,354.0,2.728806E-11
355.0,355.0,6.243428E-7
356.0,356.0,8.0262697E-7
357.0,357.0,0.0033584118
358.0,358.0,2.6891027E-7
359.0,359.0,0.0019400057
360.0,360.0,5.267339E-8
361.0,361.0,5.6594974E-8
362.0,362.0,8.96812E-5
363.0,363.0,4.7542077E-9
364.0,364.0,3.580552E-4
365.0,365.0,7.430612E-7
366.0,366.0,1.4515161E-4
367.0,367.0,3.6290091E-6
368.0,368.0,0.031426616
369.0,369.0,0.0016976174
370.0,370.0,1.1306155E-4
371.0,371.0,2.5661154E-7
372.0,372.0,1.7574219E-9
373.0,373.0,4.1176303E-4
374.0,374.0,1.004684E-6
375.0,375.0,9.331903E-5
376.0,376.0,0.0034768784
377.0,377.0,3.164416E-5
378.0,378.0,3.58505E-7
379.0,379.0,9.350025E-9
380.0,380.0,8.4657955E-4
381.0,381.0,4.683569E-7
382.0,382.0,3.9426467E-7
383.0,383.0,0.002167463
384.0,384.0,0.40366137
385.0,385.0,1.7260973E-7
386.0,386.0,1.5795704E-5
387.0,387.0,1.1238785E-4
388.0,388.0,9.800999E-8
389.0,389.0,0.01013544
390.0,390.0,2.2814384E-6
391.0,391.0,4.6985014E-4
392.0,392.0,1.7452706E-13
393.0,393.0,0.0076987045
394.0,394.0,0.046053626
395.0,395.0,1.9482609E-7
396.0,396.0,3.542234E-8
397.0,397.0,2.602681E-4
398.0,398.0,2.8375152E-7
399.0,399.0,5.1044896E-8
400.0,400.0,5.464576E-7
401.0,401.0,2.0903766E-8
402.0,402.0,2.840954E-5
403.0,403.0,1.8377244E-10
404.0,404.0,2.1029071E-7
405.0,405.0,1.9702966E-7
406.0,406.0,0.002727683
407.0,407.0,4.1132074E-7
408.0,408.0,2.7389876E-7
409.0,409.0,4.161953E-10
410.0,410.0,1.466756E-7
411.0,411.0,0.19181773
412.0,412.0,3.3803305E-10
413.0,413.0,2.8389281E-6
414.0,414.0,0.669153
415.0,415.0,9.365218E-5
416.0,416.0,1.5525872E-7
417.0,417.0,3.503625E-7
418.0,418.0,1.541405E-6
419.0,419.0,1.0054038E-6
420.0,420.0,1.0378143E-6
421.0,421.0,4.101104E-6
422.0,422.0,1.6880513E-6
423.0,423.0,2.2025426E-7
424.0,424.0,3.0025998E-8
425.0,425.0,0.0012576255
426.0,426.0,6.783478E-10
427.0,427.0,0.007952132
428.0,428.0,4.960852E-8
429.0,429.0,1.3895628E-6
430.0,430.0,4.6917748E-8
431.0,431.0,4.1146023E-4
432.0,432.0,1.6680286E-6
433.0,433.0,3.8742187E-6
434.0,434.0,8.154042E-6
435.0,435.0,1.7290282E-4
436.0,436.0,1.4607382E-10
437.0,437.0,8.050168E-6
438.0,438.0,1.2570775E-6
439.0,439.0,9.719325E-11
440.0,440.0,1.05065556E-4
441.0,441.0,1.9669189E-7
442.0,442.0,1.3091493E-6
443.0,443.0,2.6940242E-7
444.0,444.0,5.509151E-10
445.0,445.0,4.733214E-6
446.0,446.0,4.2420284E-5
447.0,447.0,2.2456075E-4
448.0,448.0,0.0022333702
449.0,449.0,0.0043995115
450.0,450.0,6.303603E-6
451.0,451.0,5.9241643E-8
452.0,452.0,1.641099E-6
453.0,453.0,2.4153596E-5
454.0,454.0,1.7772212E-5
455.0,455.0,3.475374E-8
456.0,456.0,0.0034424094
457.0,457.0,5.4223044E-4
458.0,458.0,7.719503E-6
459.0,459.0,2.3556095E-7
