Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.98843E-6,1.500031435,0.066887565,0.697388516,0.00318287,0.005208333
1.08574E-5,1.750786437,0.072490639,0.67898595,0.004340278,0.005208333
1.17329E-5,2.000037234,0.078101999,0.662110568,0.005208333,0.005208333
1.25571E-5,2.250777283,0.083353002,0.646380574,0.006365741,0.010416667
1.339E-5,2.500693538,0.088629716,0.63164325,0.0078125,0.010416667
1.42532E-5,2.751087888,0.094066074,0.617822236,0.009548611,0.013020833
1.50459E-5,3.001444383,0.099029288,0.604764814,0.010127315,0.013020833
1.58666E-5,3.250190203,0.104139672,0.592470984,0.01099537,0.015625
1.67689E-5,3.50118934,0.109725206,0.580711668,0.012152778,0.015625
1.75069E-5,3.751267391,0.114267025,0.569563225,0.012152778,0.018229167
1.85453E-5,4.001530383,0.120618759,0.558949297,0.014178241,0.018229167
1.9403E-5,4.251861254,0.125831167,0.548869884,0.016493056,0.020833333
2.03593E-5,4.500451985,0.131606338,0.539324985,0.017071759,0.020833333
2.12396E-5,4.752055056,0.136888559,0.530085522,0.019675926,0.0234375
2.21883E-5,5.002032689,0.142544729,0.521304215,0.021701389,0.03125
2.31157E-5,5.251520928,0.148038879,0.512904704,0.024305556,0.033854167
2.43067E-5,5.500445017,0.15504284,0.504886988,0.024884259,0.036458333
2.53109E-5,5.751600552,0.160903362,0.49717471,0.02662037,0.0390625
2.65262E-5,6.000313818,0.167941482,0.489844227,0.027488426,0.041666667
2.77927E-5,6.250269783,0.175213185,0.482819181,0.030092593,0.046875
2.92135E-5,6.501374089,0.183295661,0.476099572,0.03125,0.052083333
3.08444E-5,6.750054561,0.192475282,0.469761759,0.032407407,0.0546875
3.2592E-5,7.000559326,0.202197539,0.463729383,0.034143519,0.057291667
3.37809E-5,7.25276196,0.208744951,0.457926084,0.037905093,0.0625
3.53273E-5,7.501625387,0.217180126,0.452428222,0.039930556,0.0625
3.69149E-5,7.750394937,0.225746677,0.447159438,0.04224537,0.0625
3.87127E-5,8.000486759,0.235334508,0.442119731,0.045428241,0.067708333
4.05451E-5,8.250477494,0.244984342,0.437309102,0.047743056,0.067708333
4.23812E-5,8.503910951,0.254531988,0.432651191,0.050636574,0.067708333
4.40196E-5,8.750839463,0.262949574,0.428298717,0.054108796,0.0703125
4.57681E-5,9.002018085,0.271827826,0.424022602,0.057002315,0.072916667
4.73485E-5,9.252754217,0.27976057,0.419899206,0.05787037,0.072916667
4.89097E-5,9.503073546,0.287511596,0.415928528,0.059895833,0.075520833
5.02916E-5,9.750923261,0.294303427,0.412110568,0.062789352,0.075520833
5.21028E-5,10.002335872,0.303106976,0.408368968,0.06568287,0.078125
5.38092E-5,10.251642254,0.311300365,0.404780086,0.069733796,0.083333333
5.52986E-5,10.502636544,0.318373478,0.401267563,0.072048611,0.083333333
5.67921E-5,10.754595624,0.325392974,0.397831399,0.076388889,0.088541667
5.85272E-5,11.002545981,0.333456936,0.394547954,0.078993056,0.09375
6.06643E-5,11.252762299,0.343256986,0.391340867,0.081597222,0.09375
6.25067E-5,11.5058272,0.351590171,0.388210141,0.085069444,0.1015625
6.46851E-5,11.753192472,0.361306781,0.385232132,0.088541667,0.106770833
