X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
47.0,47.0,train,1.4345573526746398E-4,28.635667560346413,0.4861669686757807
48.0,48.0,train,1.4706244901679417E-4,29.275297858216188,0.49469731285438023
49.0,49.0,train,1.4546997387103103E-4,29.008566229008625,0.4909485039002992
50.0,50.0,train,2.748348977576553E-4,50.986663430791914,0.7207533408716968
51.0,51.0,train,3.071687103037465E-4,57.74736415067332,0.7596691585692813
54.0,54.0,train,2.774843702883928E-4,51.51932697423664,0.7241663915375487
55.0,55.0,train,4.4475580959026133E-4,76.78245418039567,0.8731000301870134
56.0,56.0,train,3.581403776604178E-4,65.68632992250171,0.8103028299658378
57.0,57.0,train,7.110455877122232E-4,92.08304356527786,0.9631298629822241
59.0,59.0,train,7.939273196118922E-4,94.33299628302328,0.9749041558575221
60.0,60.0,train,9.196763564124266E-4,96.02609200618004,0.9860003564132095
61.0,61.0,train,2.5750820333379125E-4,47.1652228672836,0.6973678064724013
63.0,63.0,train,2.280204330636197E-4,41.526203482265,0.6529783627519886
65.0,65.0,train,2.0100531211593136E-4,37.06870171666191,0.6066187841754321
66.0,66.0,train,4.122718728421837E-4,73.34162237217161,0.8524488434263884
67.0,67.0,train,5.369611138974413E-4,84.15476012819339,0.9172831239110237
68.0,68.0,train,6.986416166361866E-4,91.680101122589,0.9609448177618567
69.0,69.0,train,2.529317190955829E-4,46.16883821765326,0.6908705367989201
70.0,70.0,train,2.72805232764868E-4,50.59008279311942,0.7181101857857974
72.0,72.0,train,3.310784988098892E-4,61.531670852567636,0.784913986441327
73.0,73.0,train,3.532137782145039E-4,64.88274073853913,0.8059150374814802
75.0,75.0,train,8.26900169621923E-5,18.217489498021802,0.31873901861819054
76.0,76.0,train,5.490382373213648E-4,85.12466135787466,0.921792380568995
77.0,77.0,train,2.3018909432610278E-4,41.98651093916667,0.6564539429245122
78.0,78.0,train,3.259418796151709E-4,60.72719931147441,0.7797243131569742
79.0,79.0,train,3.7877466528997574E-4,68.52382122273141,0.8276281796895101
80.0,80.0,train,3.81585224501291E-4,68.8744496932405,0.8298622267584808
81.0,81.0,train,1.7025608033233673E-4,32.83553895741586,0.5462695766732473
82.0,82.0,train,3.140146610141013E-4,59.0005719080399,0.7671858116833472
83.0,83.0,train,4.984451281619867E-4,81.09946839130721,0.9010912703020546
84.0,84.0,train,0.001070573260248651,97.41899042958197,0.9930507314442379
86.0,86.0,train,3.4666336383029286E-4,63.84367557750242,0.7999234411672564
87.0,87.0,train,5.023300099288169E-4,81.51000985635747,0.902858796000428
89.0,89.0,train,3.1388237936108207E-4,58.984003987208226,0.7670428217760288
90.0,90.0,train,5.433916450347207E-4,84.53054873508172,0.9197155449686683
91.0,91.0,train,5.100030668684397E-4,82.18189272501635,0.9062575847959911
92.0,92.0,train,9.810414030736724E-5,21.011216733198285,0.36577736789551096
93.0,93.0,train,1.3772694037217435E-4,27.651763662673126,0.4723206242018384
94.0,94.0,train,4.5203963394429815E-4,77.37791764122538,0.877318581110819
95.0,95.0,train,4.038750769585932E-4,72.08787045607569,0.8465846292602979
96.0,96.0,train,2.847045444655232E-4,53.30629205044737,0.7332571676327502
97.0,97.0,train,1.1642045225975157E-4,24.02560276252188,0.41746808278115666
98.0,98.0,train,2.3421531787528303E-4,42.64051720651387,0.6628144851102923
99.0,99.0,train,1.610281502660206E-4,31.592741656185712,0.526413236064532
102.0,102.0,train,4.472485210814761E-5,9.753538341183377,0.18746201785237693
