Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.57317E-6,1.400231422,0.052095024,0.628051143,0.003898051,0.002695418
9.07424E-6,1.500874781,0.055054458,0.619217358,0.005097451,0.005390836
1.03865E-5,1.750033392,0.062761321,0.599380085,0.005697151,0.013477089
1.15502E-5,2.00000016,0.069542956,0.581712515,0.006296852,0.013477089
1.2779E-5,2.250350133,0.076650856,0.565749709,0.008095952,0.013477089
1.39615E-5,2.500120102,0.083439043,0.551259202,0.009295352,0.013477089
1.52433E-5,2.750508749,0.090741781,0.537931034,0.010794603,0.013477089
1.65683E-5,3.000723034,0.098228913,0.525765207,0.012593703,0.018867925
1.80226E-5,3.25178476,0.106376015,0.514529252,0.013793103,0.02425876
1.94557E-5,3.500557541,0.11433257,0.504223169,0.014392804,0.02425876
2.07857E-5,3.750386332,0.121652984,0.494614491,0.015592204,0.02425876
2.21304E-5,4.001325436,0.128993093,0.485548237,0.015892054,0.02425876
2.35441E-5,4.251798689,0.136643096,0.477024409,0.017091454,0.026954178
2.5124E-5,4.502126335,0.145113431,0.469043007,0.017691154,0.026954178
2.653E-5,4.750347361,0.152581663,0.461604029,0.018890555,0.026954178
2.82393E-5,5.002149936,0.161573265,0.45447501,0.020989505,0.026954178
2.99497E-5,5.252481913,0.170474941,0.447810926,0.023688156,0.026954178
3.17645E-5,5.50247676,0.17981629,0.441534289,0.025787106,0.026954178
3.37465E-5,5.751471167,0.189898201,0.435645099,0.027286357,0.026954178
3.58113E-5,6.001797033,0.200270166,0.430065866,0.027586207,0.029649596
3.75928E-5,6.250583849,0.209111579,0.42479659,0.028785607,0.029649596
3.91754E-5,6.50343441,0.216884392,0.419682294,0.031784108,0.032345013
4.19734E-5,6.750848181,0.230439385,0.414955444,0.033283358,0.037735849
4.42482E-5,7.000908817,0.241287136,0.410461062,0.035982009,0.037735849
4.72785E-5,7.25259354,0.255499795,0.406199148,0.036581709,0.040431267
4.92644E-5,7.503545447,0.264669814,0.402169702,0.03928036,0.045822102
5.2079E-5,7.752418135,0.277472412,0.398372724,0.04167916,0.045822102
5.45268E-5,8.003020222,0.288425781,0.394730725,0.043178411,0.051212938
5.70308E-5,8.254010863,0.299458559,0.391243704,0.045877061,0.053908356
5.96925E-5,8.504876849,0.310998729,0.387911662,0.046176912,0.056603774
6.20902E-5,8.754073546,0.321231358,0.384734599,0.049175412,0.059299191
6.48664E-5,9.002151779,0.332889684,0.381712515,0.051874063,0.064690027
6.73668E-5,9.252703199,0.343218239,0.378767919,0.054272864,0.070080863
6.97685E-5,9.506000859,0.352988619,0.375900814,0.056671664,0.070080863
7.32428E-5,9.755920742,0.366865715,0.373188687,0.058170915,0.075471698
7.62132E-5,10.003018668,0.378493992,0.370631538,0.059670165,0.075471698
7.89288E-5,10.25130161,0.388937819,0.368151879,0.062068966,0.078167116
8.06022E-5,10.506479367,0.395285969,0.36567222,0.064767616,0.078167116
8.28256E-5,10.751667779,0.403618328,0.36334754,0.067466267,0.078167116
8.4838E-5,11.003480888,0.411061374,0.361022859,0.070464768,0.086253369
8.69204E-5,11.25271447,0.418665301,0.358775668,0.072863568,0.091644205
8.86891E-5,11.507220161,0.425046503,0.356528477,0.075862069,0.091644205
9.05164E-5,11.758195111,0.43156558,0.354358776,0.077061469,0.091644205
9.20258E-5,12.004586276,0.436894779,0.352266563,0.08065967,0.091644205
9.43231E-5,12.255880097,0.444909881,0.350174351,0.084257871,0.091644205
9.60631E-5,12.503039361,0.450904875,0.348159628,0.086956522,0.091644205
9.79893E-5,12.755327518,0.457465807,0.346144905,0.089955022,0.094339623
9.97086E-5,13.002959743,0.463255686,0.344207671,0.092053973,0.099730458
1.01466E-4,13.254428436,0.469110209,0.342270438,0.094752624,0.102425876
1.03193E-4,13.500373806,0.474801876,0.340410694,0.096851574,0.102425876
1.05597E-4,13.751100023,0.482621724,0.338550949,0.100149925,0.107816712
1.07267E-4,14.006867636,0.487985898,0.336691205,0.103148426,0.110512129
1.08945E-4,14.25546272,0.493318995,0.33490895,0.105247376,0.110512129
1.10226E-4,14.507580803,0.497352156,0.333126695,0.107946027,0.113207547
1.11663E-4,14.751833027,0.501841347,0.331421929,0.111844078,0.115902965
